timestamp,scenario,phase,ue_count,cpu_upf_pct,upf_replicas,pod_restarts,lat_p50_ms,lat_p95_ms,lat_p99_ms
2026-04-28 16:13:29.393771+00:00,diurnal,init,0,,,,0.555,1.15,1.222
2026-04-28 16:14:24.397763+00:00,diurnal,ramp_up,10,58.79,1.0,0.0,0.58,5.811,6.538
2026-04-28 16:15:05.508862+00:00,diurnal,ramp_up,48,1.708,2.0,0.0,1.98,4.436,4.519
2026-04-28 16:16:05.260234+00:00,diurnal,ramp_up,48,,2.0,,0.787,4.617,6.179
2026-04-28 16:16:59.724650+00:00,diurnal,ramp_up,86,,,,0.637,4.451,6.69
2026-04-28 16:17:44.122629+00:00,diurnal,ramp_up,124,,,,0.509,4.792,6.39
2026-04-28 16:18:25.108847+00:00,diurnal,ramp_up,124,,2.0,0.0,0.573,1.422,1.549
2026-04-28 16:19:14.477643+00:00,diurnal,ramp_up,162,97.487,,,0.654,2.984,3.229
2026-04-28 16:20:11.256184+00:00,diurnal,ramp_up,162,79.683,5.0,0.0,0.522,1.857,2.308
2026-04-28 16:20:56.342220+00:00,diurnal,ramp_up,200,73.926,5.0,0.0,0.441,5.947,9.429
2026-04-28 16:21:44.119276+00:00,diurnal,ramp_up,200,68.765,5.0,0.0,1.125,2.434,2.967
2026-04-28 16:22:35.954286+00:00,diurnal,hold,200,62.066,5.0,0.0,0.896,2.518,2.544
2026-04-28 16:23:22.554003+00:00,diurnal,hold,200,74.785,5.0,0.0,0.461,2.552,3.358
2026-04-28 16:24:10.296462+00:00,diurnal,hold,200,99.704,5.0,0.0,0.556,1.947,2.165
2026-04-28 16:24:52.053679+00:00,diurnal,hold,200,,,,1.039,2.344,2.805
2026-04-28 16:25:48.643105+00:00,diurnal,ramp_down,200,49.723,5.0,1.0,1.875,4.976,5.163
2026-04-28 16:26:33.074820+00:00,diurnal,ramp_down,200,77.502,5.0,1.0,1.23,3.569,4.21
2026-04-28 16:27:17.956823+00:00,diurnal,ramp_down,153,75.167,5.0,1.0,0.334,1.469,2.014
2026-04-28 16:27:59.891830+00:00,diurnal,ramp_down,106,82.098,5.0,1.0,0.405,1.026,1.253
2026-04-28 16:28:41.105894+00:00,diurnal,ramp_down,106,81.167,5.0,1.0,0.336,2.157,2.68
2026-04-28 16:29:22.844514+00:00,diurnal,ramp_down,59,101.365,5.0,1.0,0.474,1.02,1.276
2026-04-28 16:30:02.519756+00:00,diurnal,ramp_down,59,86.25,5.0,1.0,0.913,3.06,3.748
2026-04-28 16:30:47.301062+00:00,diurnal,ramp_down,12,96.872,5.0,1.0,0.529,1.531,1.826
2026-04-28 16:31:26.987898+00:00,diurnal,ramp_down,12,92.802,5.0,1.0,0.471,1.931,2.01
2026-04-28 16:32:06.582445+00:00,diurnal,complete,0,94.925,5.0,1.0,0.229,0.346,0.349
