timestamp,scenario,phase,slice,ue_count,cpu_upf_pct,upf_replicas,pod_restarts,lat_p50_ms,lat_p95_ms,lat_p99_ms
2026-06-03T18:28:30.747149+00:00,slice_isolation,baseline,none,0,83.666,3,37,0.515,0.999,1.915
2026-06-03T18:29:04.050120+00:00,slice_isolation,baseline,none,0,42.702,3,37,0.547,0.872,2.161
2026-06-03T18:29:57.560025+00:00,slice_isolation,isolated_eMBB,eMBB,50,16.008,4,37,0.856,1.958,1.932
2026-06-03T18:30:31.467217+00:00,slice_isolation,isolated_eMBB,eMBB,50,100.256,4,37,0.807,1.51,3.111
2026-06-03T18:31:05.935236+00:00,slice_isolation,isolated_eMBB,eMBB,50,88.687,5,37,0.853,1.982,2.463
2026-06-03T18:31:39.855251+00:00,slice_isolation,isolated_eMBB,eMBB,50,73.882,5,37,0.807,1.658,1.717
2026-06-03T18:32:55.651530+00:00,slice_isolation,isolated_mMTC,mMTC,50,48.985,5,37,0.494,1.053,1.737
2026-06-03T18:33:29.069093+00:00,slice_isolation,isolated_mMTC,mMTC,50,94.925,5,37,0.416,1.028,1.575
2026-06-03T18:34:02.755267+00:00,slice_isolation,isolated_mMTC,mMTC,50,71.82,5,37,0.429,0.726,1.257
2026-06-03T18:34:36.585917+00:00,slice_isolation,isolated_mMTC,mMTC,50,98.547,5,37,0.468,0.775,1.576
2026-06-03T18:35:50.743117+00:00,slice_isolation,isolated_URLLC,URLLC,50,40.948,5,37,0.387,0.955,1.026
2026-06-03T18:36:25.351645+00:00,slice_isolation,isolated_URLLC,URLLC,50,100.847,5,37,0.239,0.471,0.569
2026-06-03T18:36:59.943544+00:00,slice_isolation,isolated_URLLC,URLLC,50,99.81,5,37,0.274,0.542,0.673
2026-06-03T18:37:34.156186+00:00,slice_isolation,isolated_URLLC,URLLC,50,99.898,5,37,0.313,0.605,1.146
2026-06-03T18:38:49.777618+00:00,slice_isolation,combined,combined,150,50.683,5,37,1.041,1.887,3.816
2026-06-03T18:39:24.454787+00:00,slice_isolation,combined,combined,150,96.358,5,37,1.112,2.098,2.864
2026-06-03T18:39:58.620899+00:00,slice_isolation,combined,combined,150,100.404,5,37,1.144,1.875,2.744
2026-06-03T18:40:35.854062+00:00,slice_isolation,combined,combined,150,99.999,5,37,1.103,2.523,3.674
2026-06-03T18:41:10.564872+00:00,slice_isolation,combined,combined,150,100.632,5,37,1.027,2.343,2.997
2026-06-03T18:41:45.919878+00:00,slice_isolation,combined,combined,150,85.04,5,37,1.068,1.751,2.381
2026-06-03T18:42:22.788401+00:00,slice_isolation,post_baseline,none,0,80.128,5,37,0.457,0.9,1.43
2026-06-03T18:42:56.704870+00:00,slice_isolation,post_baseline,none,0,44.436,5,37,0.483,1.032,1.502
