timestamp,scenario,phase,ue_count,cpu_upf_pct,upf_replicas,pod_restarts,lat_p50_ms,lat_p95_ms,lat_p99_ms
2026-04-28 16:59:41.787781+00:00,sustained,init,0,3.652,,,0.777,2.098,2.484
2026-04-28 17:00:40.769626+00:00,sustained,sustained_150,150,60.471,5.0,,,,
2026-04-28 17:02:15.729408+00:00,sustained,sustained_150,150,61.206,5.0,1.0,0.994,62.887,102.177
2026-04-28 17:18:01.240739+00:00,sustained,sustained_150,150,0.343,5.0,1.0,0.76,4.517,6.855
2026-04-28 17:33:51.921367+00:00,sustained,sustained_150,150,,,,0.281,3.527,3.649
2026-04-28 17:34:53.831764+00:00,sustained,sustained_150,150,0.298,5.0,1.0,0.346,0.527,0.554
2026-04-28 17:35:35.871081+00:00,sustained,sustained_150,150,,,,,,
2026-04-28 17:40:47.415734+00:00,sustained,sustained_150,150,,,,0.393,4.345,6.325
2026-04-28 17:41:30.711966+00:00,sustained,sustained_150,150,100.522,5.0,1.0,0.381,0.566,0.566
2026-04-28 17:42:12.820165+00:00,sustained,sustained_150,150,101.151,5.0,1.0,0.258,0.766,0.985
2026-04-28 17:42:54.047181+00:00,sustained,sustained_150,150,100.892,5.0,1.0,0.236,2.981,4.652
2026-04-28 17:43:34.768737+00:00,sustained,sustained_150,150,100.452,5.0,1.0,0.226,1.568,2.05
2026-04-28 17:44:15.467071+00:00,sustained,sustained_150,150,100.705,5.0,1.0,0.261,0.797,0.867
2026-04-28 17:44:56.600483+00:00,sustained,sustained_150,150,100.787,5.0,1.0,0.368,3.057,3.395
2026-04-28 17:45:37.267485+00:00,sustained,cooldown,10,81.53,5.0,1.0,0.298,1.079,1.4
2026-04-28 17:46:16.946718+00:00,sustained,cooldown,10,76.779,5.0,1.0,0.279,0.441,0.467
